timestamp,source_time,site,edge_id,battery_soc_pct,battery_power_w,grid_power_w,production_power_w,consumption_power_w,is_anomaly,anomaly_type
2026-01-01T00:01:00Z,2026-07-06T05:31:14Z,Willowbrook Fabrication Shop,0,100,0,-2818,2656,-162,False,
2026-01-01T00:02:00Z,2026-07-06T05:31:15Z,Willowbrook Fabrication Shop,0,100,0,-2795,2658,-137,False,
2026-01-01T00:03:00Z,2026-07-06T05:31:16Z,Willowbrook Fabrication Shop,0,100,0,-2814,2660,-154,False,
2026-01-01T00:04:00Z,2026-07-06T05:31:17Z,Willowbrook Fabrication Shop,0,100,0,-2836,2662,-174,False,
2026-01-01T00:05:00Z,2026-07-06T05:31:18Z,Willowbrook Fabrication Shop,0,100,0,-2830,2664,-166,False,
2026-01-01T00:06:00Z,2026-07-06T05:31:19Z,Willowbrook Fabrication Shop,0,100,0,-3018,2666,-352,False,
2026-01-01T00:07:00Z,2026-07-06T05:31:20Z,Willowbrook Fabrication Shop,0,100,0,-3140,2668,-472,False,
2026-01-01T00:08:00Z,2026-07-06T05:31:21Z,Willowbrook Fabrication Shop,0,100,0,-3151,2670,-481,False,
2026-01-01T00:09:00Z,2026-07-06T05:31:22Z,Willowbrook Fabrication Shop,0,100,0,-2954,2672,-282,False,
2026-01-01T00:10:00Z,2026-07-06T05:31:23Z,Willowbrook Fabrication Shop,0,100,0,-2856,2674,-182,False,
2026-01-01T00:11:00Z,2026-07-06T05:31:24Z,Willowbrook Fabrication Shop,0,100,0,-2848,2676,-172,False,
2026-01-01T00:12:00Z,2026-07-06T05:31:25Z,Willowbrook Fabrication Shop,0,100,0,-2861,2678,-183,False,
2026-01-01T00:13:00Z,2026-07-06T05:31:26Z,Willowbrook Fabrication Shop,0,100,0,-2853,2680,-173,False,
2026-01-01T00:14:00Z,2026-07-06T05:31:27Z,Willowbrook Fabrication Shop,0,100,0,-4698,2682,-2016,False,
2026-01-01T00:15:00Z,2026-07-06T05:31:28Z,Willowbrook Fabrication Shop,0,100,0,-4712,2684,-2028,False,
2026-01-01T00:16:00Z,2026-07-06T05:31:29Z,Willowbrook Fabrication Shop,0,100,0,-4918,2686,-2232,False,
2026-01-01T00:17:00Z,2026-07-06T05:31:30Z,Willowbrook Fabrication Shop,0,100,0,-5141,2688,-2453,False,
2026-01-01T00:18:00Z,2026-07-06T05:31:31Z,Willowbrook Fabrication Shop,0,100,0,-3550,2690,-860,False,
2026-01-01T00:19:00Z,2026-07-06T05:31:32Z,Willowbrook Fabrication Shop,0,100,0,-3043,2692,-351,False,
2026-01-01T00:20:00Z,2026-07-06T05:31:33Z,Willowbrook Fabrication Shop,0,100,0,-2921,2694,-227,False,
2026-01-01T00:21:00Z,2026-07-06T05:31:34Z,Willowbrook Fabrication Shop,0,100,0,-2905,2696,-209,False,
2026-01-01T00:22:00Z,2026-07-06T05:31:35Z,Willowbrook Fabrication Shop,0,100,0,-2940,2698,-242,False,
2026-01-01T00:23:00Z,2026-07-06T05:31:36Z,Willowbrook Fabrication Shop,0,100,0,-2885,2700,-185,False,
2026-01-01T00:24:00Z,2026-07-06T05:31:37Z,Willowbrook Fabrication Shop,0,100,0,-2902,2702,-200,False,
2026-01-01T00:25:00Z,2026-07-06T05:31:38Z,Willowbrook Fabrication Shop,0,100,0,-2936,2704,-232,False,
2026-01-01T00:26:00Z,2026-07-06T05:31:39Z,Willowbrook Fabrication Shop,0,100,0,-3036,2706,-330,False,
2026-01-01T00:27:00Z,2026-07-06T05:31:40Z,Willowbrook Fabrication Shop,0,100,0,-3161,2708,-453,False,
2026-01-01T00:28:00Z,2026-07-06T05:31:41Z,Willowbrook Fabrication Shop,0,100,0,-4714,2710,-2004,False,
2026-01-01T00:29:00Z,2026-07-06T05:31:42Z,Willowbrook Fabrication Shop,0,100,0,-4855,2712,-2143,False,
2026-01-01T00:30:00Z,2026-07-06T05:31:43Z,Willowbrook Fabrication Shop,0,100,0,-4697,2714,-1983,False,
2026-01-01T00:31:00Z,2026-07-06T05:31:44Z,Willowbrook Fabrication Shop,0,100,0,-3444,2716,-728,False,
2026-01-01T00:32:00Z,2026-07-06T05:31:45Z,Willowbrook Fabrication Shop,0,100,0,-2833,2718,-115,False,
2026-01-01T00:33:00Z,2026-07-06T05:31:46Z,Willowbrook Fabrication Shop,0,100,0,-2811,2720,-91,False,
2026-01-01T00:34:00Z,2026-07-06T05:31:47Z,Willowbrook Fabrication Shop,0,100,0,-2813,2722,-91,False,
2026-01-01T00:35:00Z,2026-07-06T05:31:48Z,Willowbrook Fabrication Shop,0,100,0,-2808,2724,-84,False,
2026-01-01T00:36:00Z,2026-07-06T05:31:49Z,Willowbrook Fabrication Shop,0,100,0,-2983,2726,-257,False,
2026-01-01T00:37:00Z,2026-07-06T05:31:50Z,Willowbrook Fabrication Shop,0,100,0,-3104,2728,-376,False,
2026-01-01T00:38:00Z,2026-07-06T05:31:51Z,Willowbrook Fabrication Shop,0,100,0,-3095,2730,-365,False,
2026-01-01T00:39:00Z,2026-07-06T05:31:52Z,Willowbrook Fabrication Shop,0,100,0,-2798,2732,-66,False,
2026-01-01T00:40:00Z,2026-07-06T05:31:53Z,Willowbrook Fabrication Shop,0,100,0,-2712,2734,22,False,
2026-01-01T00:41:00Z,2026-07-06T05:31:54Z,Willowbrook Fabrication Shop,0,100,0,-2707,2736,29,False,
2026-01-01T00:42:00Z,2026-07-06T05:31:55Z,Willowbrook Fabrication Shop,0,100,0,-2698,2738,40,False,
2026-01-01T00:43:00Z,2026-07-06T05:31:56Z,Willowbrook Fabrication Shop,0,100,0,-2720,2740,20,False,
2026-01-01T00:44:00Z,2026-07-06T05:31:57Z,Willowbrook Fabrication Shop,0,100,0,-2706,2742,36,False,
2026-01-01T00:45:00Z,2026-07-06T05:31:58Z,Willowbrook Fabrication Shop,0,100,0,-2704,2744,40,False,
